Username,Date,Text,Replies,Reposts,Likes,Bookmarks,Views
stairwayto3dom,2023-12-22T15:14:49.000Z, You CANNOT support Palestine in India!!,926,4166,8253,158,326524
REVMAXXING,2023-12-16T02:36:51.000Z, Palestine is NOT your enemy!,2831,7680,39955,249,669198
stairwayto3dom,2023-12-09T16:19:00.000Z, This is what life is like for women that live in occupied Palestine…,1011,15724,15924,340,367426
sevinc07436113,2024-01-01T23:52:07.000Z,"Hundreds of thousands of people set out to support Gaza and Palestine in Istanbul, Turkey today. Palestine is not alone
#FreePalestine
#Gaza
#Turkiye ",0,2,16,0,553
shimmeringolds,2023-12-25T20:06:35.000Z,Soon… Palestine will be free and return to what it was! ,524,6390,21198,321,1243798
3rdbrightest,2024-01-01T23:59:53.000Z,Me rn,0,0,0,0,73
BlackJewishA,2023-12-23T14:56:47.000Z,"Black Jewish Alliance are shutting shit down with ⁦@SistersUncut⁩!!

Christmas is cancelled. We will not stop shutting shit down until Israel stops the genocide.  

Shabbat Shalom and Free Palestine ",786,2039,5966,97,195410
StopZionistHate,2023-12-28T02:18:10.000Z,"""...In Palestine, there is no one innocent, okay, all of them need to be radically exterminated, so this race is ended...""

Anyone know this extremist?",489,2504,5984,342,188262
Oliviagarden95,2024-01-01T23:51:22.000Z,I support Ukraine and Israel. Fuck Palestine and Russia!  ,0,0,2,0,99
azaizamotaz9,2023-12-28T02:40:18.000Z,"Evacuating orders 
Where should people go? 
The Nakba never ended
End the occupation
Free Palestine 
Ceasefire now",680,40207,63701,852,1090005
IranObserver0,2023-12-30T18:21:20.000Z,"BREAKING 

The US has sent secret messages to Iran and Saudi Arabia about the future of Palestine 

Saudi security officials are now in Tehran for talks. 

US Secretary of State Blinken will visit Israel and several other Arab countries this week",539,1853,6814,257,567661
stairwayto3dom,2023-12-30T16:28:35.000Z,"Crazy idea: Let’s split Palestine into 2 states and then call it Israel, then over 70 years keep taking more and more until there’s no more Palestine",960,949,9133,163,653036
maryjay223,2024-01-01T23:58:13.000Z,"Former Israeli Soldier Breaks His Silence on Raiding Homes of Palestinians: ""Made Sure the People in the House were Innocent""

Transcript:
""We would open up the maps and look at the specific house that looked into the right place that we had to enter a city center or a road.",0,0,0,0,17
ShaykhSulaiman,2023-12-17T18:25:52.000Z,NORWAY IS WITH PALESTINE,477,10657,27965,89,267276
TheMossadIL,2023-12-23T19:17:23.000Z,Welcome back to your new and Hamasshole-free Palestine Square.,669,1099,7942,43,219079
trumplicans2024,2023-12-05T03:31:00.000Z,"this is what palestinian kids are taught...
to hate Jews in early childhood...
where do you think the goat fuking hamas terrorists come from...
and NO arab country will take ANY palestinian refugees, i wonder why...
FUK hamas, fuk palestine...
and fuk you if you support them...",576,882,1473,21,41686
BayanPalestine,2024-01-01T08:50:14.000Z,Happy new year from #Gaza.,2499,12721,35827,495,1348977
LS_Formaggio,2024-01-01T23:50:52.000Z,"1st art of the year. The year of the dragon or something
#jojo #jjba #JoJosBizzareAdventure #jjbafanart #jojo_anime #stoneocean #stoneoceananime #kenzoujojo #dragonsdreamjojo",0,0,6,0,240
SuppressedNws,2023-12-31T21:38:38.000Z,Since this video triggers the Zionists I decided to post it again ,664,15699,34367,1300,790567
SuppressedNws,2023-12-23T14:02:35.000Z,"EXTREMELY SENSITIVE VIDEO.

“Everyone is in shock”

A shocking and touching scene for the last moments of the child Fadi Khaled Shaheen because of a shrapnel of an Israeli artillery shell that fell on their home last night in Jabaliya, the country in the north of the Strip.",898,15646,14240,847,500269
